iter	Passed	Remaining
0	10	5424
1	21	5449
2	32	5416
3	43	5371
4	54	5374
5	68	5612
6	80	5648
7	91	5605
8	102	5573
9	112	5534
10	126	5607
11	137	5609
12	149	5585
13	160	5571
14	171	5534
15	182	5510
16	192	5482
17	204	5466
18	215	5446
19	226	5442
20	237	5417
21	247	5382
22	258	5366
23	269	5337
24	282	5367
25	293	5355
26	304	5336
27	316	5334
28	328	5342
29	339	5316
30	350	5303
31	363	5309
32	373	5292
33	384	5270
34	395	5250
35	405	5229
36	416	5210
37	427	5202
38	441	5221
39	458	5275
40	470	5265
41	481	5253
42	493	5242
43	512	5312
44	539	5458
45	557	5503
46	571	5508
47	583	5493
48	594	5474
49	604	5443
50	615	5417
51	626	5395
52	637	5377
53	648	5352
54	659	5333
55	670	5316
56	682	5302
57	694	5295
58	707	5287
59	717	5264
60	728	5244
61	738	5219
62	749	5198
63	759	5175
64	769	5152
65	779	5126
66	789	5102
67	800	5085
68	811	5069
69	823	5059
70	834	5042
71	845	5025
72	855	5006
73	866	4987
74	876	4967
75	886	4946
76	896	4926
77	906	4906
78	916	4885
79	927	4869
80	937	4850
81	947	4830
82	958	4813
83	968	4794
84	979	4780
85	991	4772
86	1002	4759
87	1013	4745
88	1024	4731
89	1035	4718
90	1046	4701
91	1056	4683
92	1066	4666
93	1075	4646
94	1085	4628
95	1095	4611
96	1105	4594
97	1115	4576
98	1125	4559
99	1137	4549
100	1146	4528
101	1155	4509
102	1165	4492
103	1174	4473
104	1184	4456
105	1197	4450
106	1207	4434
107	1217	4417
108	1227	4401
109	1237	4386
110	1247	4372
111	1257	4355
112	1267	4341
113	1278	4327
114	1288	4313
115	1298	4300
116	1309	4286
117	1319	4273
118	1330	4258
119	1340	4244
120	1351	4233
121	1362	4220
122	1372	4207
123	1383	4194
124	1394	4182
125	1405	4171
126	1415	4157
127	1426	4144
128	1436	4131
129	1446	4115
130	1455	4100
131	1466	4088
132	1476	4073
133	1485	4057
134	1495	4043
135	1505	4028
136	1515	4015
137	1525	4001
138	1536	3989
139	1550	3988
140	1562	3978
141	1572	3964
142	1583	3952
143	1594	3941
144	1604	3927
145	1615	3915
146	1625	3903
147	1636	3892
148	1646	3879
149	1657	3867
150	1667	3854
151	1678	3842
152	1688	3829
153	1698	3816
154	1709	3804
155	1719	3790
156	1729	3778
157	1739	3764
158	1749	3751
159	1758	3737
160	1768	3724
161	1778	3710
162	1788	3696
163	1797	3683
164	1807	3670
165	1818	3658
166	1827	3644
167	1838	3632
168	1848	3620
169	1858	3607
170	1868	3594
171	1880	3585
172	1894	3580
173	1905	3569
174	1918	3562
175	1929	3552
176	1940	3540
177	1950	3528
178	1960	3515
179	1970	3503
180	1982	3494
181	1992	3481
182	2001	3467
183	2012	3455
184	2022	3443
185	2033	3432
186	2043	3420
187	2053	3408
188	2064	3397
189	2074	3385
190	2086	3376
191	2096	3363
192	2107	3352
193	2117	3339
194	2127	3327
195	2138	3316
196	2150	3306
